sample_idx,opponent,strategy,chosen_action,predicted_opponent_action,actual_opponent_action,reward
0,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
0,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
1,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
1,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
2,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
2,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
3,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
3,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
4,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
4,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
5,Grim Trigger,Prompt-Based Opponent Reasoning,C,,C,3.0
5,Grim Trigger,Explicit Opponent Simulation,D,C,C,5.0
6,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
6,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
7,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
7,Alternating,Explicit Opponent Simulation,D,C,C,5.0
8,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
8,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
9,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
9,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
10,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
10,Alternating,Explicit Opponent Simulation,D,C,C,5.0
11,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,D,0.0
11,Tit-for-Tat,Explicit Opponent Simulation,D,D,D,1.0
12,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
12,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
13,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
13,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
14,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
14,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
15,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
15,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
16,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
16,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
17,Tit-for-Tat,Prompt-Based Opponent Reasoning,C,,C,3.0
17,Tit-for-Tat,Explicit Opponent Simulation,D,C,C,5.0
18,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
18,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
19,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
19,Alternating,Explicit Opponent Simulation,D,D,D,1.0
20,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
20,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
21,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
21,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
22,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
22,Alternating,Explicit Opponent Simulation,D,C,C,5.0
23,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
23,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
24,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
24,Alternating,Explicit Opponent Simulation,D,C,C,5.0
25,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
25,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
26,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
26,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
27,Grim Trigger,Prompt-Based Opponent Reasoning,D,,D,1.0
27,Grim Trigger,Explicit Opponent Simulation,D,D,D,1.0
28,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
28,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
29,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
29,Alternating,Explicit Opponent Simulation,D,D,D,1.0
30,Alternating,Prompt-Based Opponent Reasoning,D,,C,5.0
30,Alternating,Explicit Opponent Simulation,D,C,C,5.0
31,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
31,Alternating,Explicit Opponent Simulation,D,D,D,1.0
32,Always Defect,Prompt-Based Opponent Reasoning,D,,D,1.0
32,Always Defect,Explicit Opponent Simulation,D,D,D,1.0
33,Always Cooperate,Prompt-Based Opponent Reasoning,D,,C,5.0
33,Always Cooperate,Explicit Opponent Simulation,D,C,C,5.0
34,Alternating,Prompt-Based Opponent Reasoning,D,,D,1.0
